item_name,item_category,cart_after_view_sessions,purchase_after_cart_sessions,cart_without_purchase_sessions,cart_to_purchase_rate_pct,cart_abandonment_rate_pct
Google Tech Taco,Lifestyle/Small Goods/,1130,7,1123,0.62,99.38
Google Mouse Pad Navy,Lifestyle/Small Goods/,1133,17,1116,1.5,98.5
Google Women's Grid Zip-Up,Home/Apparel/Women's/,1119,22,1097,1.97,98.03
#IamRemarkable Ladies T-Shirt,Home/Apparel/Women's/,1103,8,1095,0.73,99.27
Google Phone Stand Bamboo,Lifestyle/Small Goods/,1067,22,1045,2.06,97.94
Google Land & Sea Tote Bag,Home/New/,1060,16,1044,1.51,98.49
Google Crewneck Sweatshirt Grey,Home/Apparel/Men's / Unisex/,1069,37,1032,3.46,96.54
Google Flat Front Bag Grey,Lifestyle/Bags/,1023,29,994,2.83,97.17
Google Crew Socks,Home/Apparel/,1061,69,992,6.5,93.5
Google Dino Game Tee,Home/Apparel/Men's / Unisex/,997,32,965,3.21,96.79
Google Small Cable Organizer Blue,Lifestyle/,971,12,959,1.24,98.76
YouTube Crew Socks,Home/Apparel/Socks/,976,20,956,2.05,97.95
YouTube Transmission Journal Red,Home/Stationery/Notebooks/,961,12,949,1.25,98.75
Google Metallic Notebook Set,Home/Stationery/Notebooks/,1018,72,946,7.07,92.93
Google Pen White,Home/Stationery/Writing/,1004,70,934,6.97,93.03
Google Laptop and Cell Phone Stickers,Home/Stationery/,1004,82,922,8.17,91.83
Google Sherpa Zip Hoodie Navy,Home/Apparel/Men's / Unisex/,944,23,921,2.44,97.56
YouTube Standards Zip Hoodie Black,Home/Shop by Brand/YouTube/,920,9,911,0.98,99.02
Google Clear Pen 4-Pack,Home/Stationery/Writing/,974,77,897,7.91,92.09
Google Cloud  Unisex Zip Hoodie,Home/New/,892,0,892,0.0,100.0
Google Mesh Bag Red,Lifestyle/Bags/,897,6,891,0.67,99.33
Google Jotter Task Pad,Home/Eco-Friendly/,895,4,891,0.45,99.55
Google Confetti Accessory Pouch,Lifestyle/Bags/,890,9,881,1.01,98.99
Google Campus Bike Tote Navy,Lifestyle/Bags/,909,29,880,3.19,96.81
Google Large Standard Journal Grey,Office,909,31,878,3.41,96.59
Google Utility BackPack,Lifestyle/Bags/,876,11,865,1.26,98.74
Google Pocket Tee Grey,Sale,864,0,864,0.0,100.0
Google Black Cork Journal,Home/Stationery/,896,43,853,4.8,95.2
Google See-No Hear-No Set,Lifestyle/Small Goods/,855,21,834,2.46,97.54
Google Cambridge Campus Sticker,Home/Campus Collection/,840,16,824,1.9,98.1
Google Campus Bike Carry Pouch,Lifestyle/Bags/,836,16,820,1.91,98.09
Google Incognito Messenger Bag,Lifestyle/Bags/,824,4,820,0.49,99.51
Google Camp Mug Ivory,Drinkware,902,87,815,9.65,90.35
Google Split Seam Tee Olive,Home/Apparel/Men's / Unisex/,827,14,813,1.69,98.31
Google Mesh Bag Blue,Lifestyle/Bags/,830,20,810,2.41,97.59
Google Men's Puff Jacket Black,Home/Apparel/Men's / Unisex/,826,17,809,2.06,97.94
YouTube Play Mug,Home/Shop by Brand/YouTube/,834,32,802,3.84,96.16
Google NYC Campus Sticker,Home/Campus Collection/,814,25,789,3.07,96.93
Android Iconic Pin,Lifestyle/Small Goods/,799,12,787,1.5,98.5
Google Emoji Sticker Pack,Home/Stationery/,816,33,783,4.04,95.96
Google Light Pen Blue,Home/Stationery/,823,56,767,6.8,93.2
Google LoveHandle Black,Lifestyle/Small Goods/,779,12,767,1.54,98.46
