cart_group,total_sessions,purchase_sessions,non_purchase_sessions,strict_purchase_rate_pct,session_share_pct,avg_carted_item_count
无加购行为,339948,1778,338170,0.52,95.8,0.0
有加购行为,14909,2814,12095,18.87,4.2,18.06
