session_date,total_sessions,view_sessions,checkout_sessions,purchase_sessions,session_to_view_rate_pct,view_to_checkout_rate_pct,checkout_to_purchase_rate_pct,overall_purchase_rate_pct,total_sessions_7d_avg,overall_purchase_rate_7d_pct
2021-01-09,3239,518,37,18,15.99,7.14,48.65,0.56,4071.0,0.55
2021-01-10,2974,442,31,14,14.86,7.01,45.16,0.47,4102.0,0.54
2021-01-11,3915,671,52,25,17.14,7.75,48.08,0.64,4188.0,0.57
2021-01-12,4677,840,77,42,17.96,9.17,54.55,0.9,4226.0,0.61
2021-01-13,4477,755,82,34,16.86,10.86,41.46,0.76,4015.0,0.67
2021-01-14,4321,840,80,45,19.44,9.52,56.25,1.04,3974.0,0.75
2021-01-15,3893,710,68,37,18.24,9.58,54.41,0.95,3928.0,0.78
2021-01-16,3146,526,50,24,16.72,9.51,48.0,0.76,3915.0,0.81
2021-01-17,2960,448,34,14,15.14,7.59,41.18,0.47,3913.0,0.81
2021-01-18,3561,502,41,16,14.1,8.17,39.02,0.45,3862.0,0.78
2021-01-19,4146,828,81,46,19.97,9.78,56.79,1.11,3786.0,0.81
2021-01-20,4727,1181,133,88,24.98,11.26,66.17,1.86,3822.0,1.01
2021-01-21,4639,1400,100,49,30.18,7.14,49.0,1.06,3867.0,1.01
2021-01-22,4031,1125,139,85,27.91,12.36,61.15,2.11,3887.0,1.18
2021-01-23,3088,727,73,37,23.54,10.04,50.68,1.2,3879.0,1.23
2021-01-24,2928,634,65,33,21.65,10.25,50.77,1.13,3874.0,1.31
2021-01-25,3862,935,79,54,24.21,8.45,68.35,1.4,3917.0,1.43
2021-01-26,4048,953,78,45,23.54,8.18,57.69,1.11,3903.0,1.43
2021-01-27,4271,998,95,36,23.37,9.52,37.89,0.84,3838.0,1.26
2021-01-28,4056,947,81,52,23.35,8.55,64.2,1.28,3755.0,1.3
2021-01-29,3741,870,86,50,23.26,9.89,58.14,1.34,3713.0,1.18
2021-01-30,2807,582,49,25,20.73,8.42,51.02,0.89,3673.0,1.15
2021-01-31,2758,549,52,17,19.91,9.47,32.69,0.62,3649.0,1.09
